"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"541","d","Date of acquisition","Date of acquisition","0","0","0","","5","","","","","1","HLD","","","","9999"
"541","e","Accession number","Accession number","0","0","0","","5","","","","","1","HLD","","","","9999"
"541","f","Owner","Owner","0","0","0","","5","","","","","1","HLD","","","","9999"
"541","h","Purchase price","Purchase price","0","0","0","","5","","","","","1","HLD","","","","9999"
"541","n","Extent","Extent","1","0","0","","5","","","","","1","HLD","","","","9999"
"541","o","Type of unit","Type of unit","1","0","0","","5","","","","","1","HLD","","","","9999"
"561","3","Materials specified","Materials specified","0","0","0","","5","","","","","-6","HLD","","","","9999"
"561","5","Institution to which field applies","Institution to which field applies","0","0","0","","5","","","","","-6","HLD","","","","9999"
"561","6","Linkage","Linkage","0","0","0","","5","","","","","-6","HLD","","","","9999"
"561","8","Field link and sequence number","Field link and sequence number","1","0","0","","5","","","","","-6","HLD","","","","9999"
"561","a","History","History","0","0","0","","5","","","","","6","HLD","","","","9999"
"561","b","Time of collation [OBSOLETE]","Time of collation [OBSOLETE]","0","0","0","","5","","","","","6","HLD","","","","9999"
"561","u","Uniform Resource Identifier","Uniform Resource Identifier","1","0","0","","5","","","","","-6","HLD","","","","9999"
"562","3","Materials specified","Materials specified","0","0","0","","5","","","","","-6","HLD","","","","9999"
"562","5","Institution to which field applies","Institution to which field applies","0","0","0","","-1","","","","","-6","HLD","","","","9999"
"562","6","Linkage","Linkage","0","0","0","","5","","","","","-6","HLD","","","","9999"
"562","8","Field link and sequence number","Field link and sequence number","1","0","0","","5","","","","","-6","HLD","","","","9999"
"562","a","Identifying markings","Identifying markings","1","0","0","","5","","","","","-1","HLD","","","","9999"
"562","b","Copy identification","Copy identification","1","0","0","","5","","","","","-1","HLD","","","","9999"
"562","c","Version identification","Version identification","1","0","0","","5","","","","","-1","HLD","","","","9999"
"562","d","Presentation format","Presentation format","1","0","0","","5","","","","","-1","HLD","","","","9999"
"562","e","Number of copies","Number of copies","1","0","0","","5","","","","","-1","HLD","","","","9999"
"563","3","Materials specified","Materials specified","0","0","0","","5","","","","","-6","HLD","","","","9999"
"563","5","Institution to which field applies","Institution to which field applies","0","0","0","","-1","","","","","-6","HLD","","","","9999"
"563","6","Linkage","Linkage","0","0","0","","5","","","","","-6","HLD","","","","9999"
"563","8","Field link and sequence number","Field link and sequence number","1","0","0","","5","","","","","-6","HLD","","","","9999"
"563","a","Binding note","Binding note","0","0","0","","5","","","","","-1","HLD","","","","9999"
"563","u","Uniform Resource Identifier","Uniform Resource Identifier","1","0","0","","5","","","","1","-1","HLD","","","","9999"
